block_start_ist,mcp_rs_per_mwh
2026-08-22T21:15:00+05:30,10000.00
2026-08-22T21:30:00+05:30,10000.00
2026-08-22T21:45:00+05:30,10000.00
2026-08-22T22:00:00+05:30,10000.00
2026-08-22T22:15:00+05:30,10000.00
2026-08-22T22:30:00+05:30,10000.00
2026-08-22T22:45:00+05:30,10000.00
2026-08-22T23:00:00+05:30,10000.00
2026-08-22T23:15:00+05:30,10000.00
2026-08-22T23:30:00+05:30,10000.00
2026-08-22T23:45:00+05:30,10000.00
2026-08-23T00:00:00+05:30,10000.00
2026-08-23T00:15:00+05:30,10000.00
2026-08-23T00:30:00+05:30,10000.00
2026-08-23T00:45:00+05:30,10000.00
2026-08-23T01:00:00+05:30,10000.00
2026-08-23T01:15:00+05:30,10000.00
2026-08-23T01:30:00+05:30,10000.00
2026-08-23T01:45:00+05:30,10000.00
2026-08-23T02:00:00+05:30,6800.34
2026-08-23T02:15:00+05:30,6800.15
2026-08-23T02:30:00+05:30,5855.84
2026-08-23T02:45:00+05:30,5600.82
2026-08-23T03:00:00+05:30,4098.91
2026-08-23T03:15:00+05:30,4098.68
2026-08-23T03:30:00+05:30,4000.70
2026-08-23T03:45:00+05:30,3856.68
2026-08-23T04:00:00+05:30,4098.07
2026-08-23T04:15:00+05:30,4098.40
2026-08-23T04:30:00+05:30,4431.59
2026-08-23T04:45:00+05:30,7500.99
2026-08-23T05:00:00+05:30,10000.00
2026-08-23T05:15:00+05:30,10000.00
2026-08-23T05:30:00+05:30,10000.00
2026-08-23T05:45:00+05:30,10000.00
2026-08-23T06:00:00+05:30,10000.00
2026-08-23T06:15:00+05:30,10000.00
2026-08-23T06:30:00+05:30,10000.00
2026-08-23T06:45:00+05:30,10000.00
2026-08-23T07:00:00+05:30,8149.71
2026-08-23T07:15:00+05:30,6499.46
2026-08-23T07:30:00+05:30,4979.48
2026-08-23T07:45:00+05:30,4167.72
2026-08-23T08:00:00+05:30,3614.48
2026-08-23T08:15:00+05:30,3311.91
2026-08-23T08:30:00+05:30,3065.16
2026-08-23T08:45:00+05:30,2624.60
